Halaman,Judul,Tautan,Penulis,Tahun,Sitasi,Institusi
31,"The Influence of Product Quality, Service Quality, and Price on Consumer Decisions in Making Purchases at PT. Indomarco Pristama Medan","https://scholar.google.com/scholar?q=+intitle:'The Influence of Product Quality, Service Quality, and Price on Consumer Decisions in Making Purchases at PT. Indomarco Pristama Medan'","ED Saputra, N Purba, RR Ritonga
International Journal of Comparative Accounting And Management Science …, 2022",2022,0,"International Journal of Comparative Accounting And Management Science …, 2022"
31,Kontrak dan laporan penelitian Perilaku Masyarakat Dalam Implementasi Program Pekarangan Pangan Lestari (P2l) Di Provinsi Lampung,https://scholar.google.com/scholar?q=+intitle:'Kontrak dan laporan penelitian Perilaku Masyarakat Dalam Implementasi Program Pekarangan Pangan Lestari (P2l) Di Provinsi Lampung',"K Rangga, S Sumaryo, T Hasanuddin
Universitas Lampung, 0",0000,1,"Universitas Lampung, 0"
31,PERANCANGAN PROGRAM OPTIMASI ECONOMIC DISPATCH PADA DISTRIBUSI DAYA PT PLN (PERSERO) DEPOK MENGGUNAKAN METODE TAGUCHI,https://scholar.google.com/scholar?q=+intitle:'PERANCANGAN PROGRAM OPTIMASI ECONOMIC DISPATCH PADA DISTRIBUSI DAYA PT PLN (PERSERO) DEPOK MENGGUNAKAN METODE TAGUCHI',"NI Manik, M Kom, L Wibowo, H Simorangkir, M Kom",0000,0,
31,Pengaruh Produk dan harga terhadap keputusan pembelian Konsumen di Morning Bakery Batam,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Produk dan harga terhadap keputusan pembelian Konsumen di Morning Bakery Batam',"S Zulaicha, R Irawati
Inovbiz: Jurnal Inovasi Bisnis 4 (2), 123-136, 2016",2016,277,"Inovbiz: Jurnal Inovasi Bisnis 4 (2), 123-136, 2016"
31,EMC-based skin-effect grounding for reducing lightning strike effect in geothermal power plant,https://scholar.google.com/scholar?q=+intitle:'EMC-based skin-effect grounding for reducing lightning strike effect in geothermal power plant',"D Darwanto, D Hamdani
International Symposium on Electromagnetic Compatibility-EMC EUROPE, 1-5, 2012",2012,1,"International Symposium on Electromagnetic Compatibility-EMC EUROPE, 1-5, 2012"
31,Media Pembelajaran Perangkat Keras Jaringan Komputer Berbasis Magicbook Augmented Reality,https://scholar.google.com/scholar?q=+intitle:'Media Pembelajaran Perangkat Keras Jaringan Komputer Berbasis Magicbook Augmented Reality',"A Suharso, AA Pramana
Syntax: Jurnal Informatika 5 (2), 106-127, 2016",2016,9,"Syntax: Jurnal Informatika 5 (2), 106-127, 2016"
31,Ekonomi Regional,https://scholar.google.com/scholar?q=+intitle:'Ekonomi Regional',"SE Kornita
HEI Publishing Indonesia, 2024",2024,0,"HEI Publishing Indonesia, 2024"
32,Peer Review: Process Optimization of In Situ Magnetic-Anisotropy Spark Plasma Sintering of M-Type-Based Barium Hexaferrite BaFe12019,https://scholar.google.com/scholar?q=+intitle:'Peer Review: Process Optimization of In Situ Magnetic-Anisotropy Spark Plasma Sintering of M-Type-Based Barium Hexaferrite BaFe12019',"A Doyan
Universitas Mataram",0000,0,Universitas Mataram
32,HIV: Prevention of mother-to-child transmission basic knowledge of HIV and PMTCT of women in Indonesia,https://scholar.google.com/scholar?q=+intitle:'HIV: Prevention of mother-to-child transmission basic knowledge of HIV and PMTCT of women in Indonesia',"A Mutiar, A Hendra, N Nurhayati
Malahayati International Journal of Nursing and Health Science 5 (1), 46-53, 2022",2022,1,"Malahayati International Journal of Nursing and Health Science 5 (1), 46-53, 2022"
32,"Revisi taksonomi Bloom: Kognitif, afektif, dan psikomotorik. Humanika, 21 (2), 151â€“172","https://scholar.google.com/scholar?q=+intitle:'Revisi taksonomi Bloom: Kognitif, afektif, dan psikomotorik. Humanika, 21 (2), 151â€“172'",DA Nafiati,2021,5,
32,"Pendampingan Budidaya Larva Black Soldier Fly sebagai Pakan Ikan dan Ayam di Jatimurni, Bekasi","https://scholar.google.com/scholar?q=+intitle:'Pendampingan Budidaya Larva Black Soldier Fly sebagai Pakan Ikan dan Ayam di Jatimurni, Bekasi'","HY Sutarno, R Pramitasari, DSB Anugrah, V Tjhintia, W Prasetya
I-Com: Indonesian Community Journal 3 (4), 1500-1507, 2023",2023,0,"I-Com: Indonesian Community Journal 3 (4), 1500-1507, 2023"
32,Konsep Pendidikan Akhlak Dalam Kitab Bulugh al-Maram,https://scholar.google.com/scholar?q=+intitle:'Konsep Pendidikan Akhlak Dalam Kitab Bulugh al-Maram',"A Maulida
Al-Hidayah Press, 2017",2017,24,"Al-Hidayah Press, 2017"
32,ANALISIS SISTEM BISNIS USAHA BUDIDAYA BENIH IKAN BAWALCOLOSSOMA MACROPOMUM (STUDI KASUS UNIT PEMBENIHAN RAKYAT KUNCUP MEKAR DI DESA DURIASIH KECAMATAN WONGGEDUKU KABUPATEN KONAWE),https://scholar.google.com/scholar?q=+intitle:'ANALISIS SISTEM BISNIS USAHA BUDIDAYA BENIH IKAN BAWALCOLOSSOMA MACROPOMUM (STUDI KASUS UNIT PEMBENIHAN RAKYAT KUNCUP MEKAR DI DESA DURIASIH KECAMATAN WONGGEDUKU KABUPATEN KONAWE)',"A Pradana, M Balubi
Jurnal Sosial Ekonomi Perikanan 5 (2)",0000,0,Jurnal Sosial Ekonomi Perikanan 5 (2)
32,Strategi pembelajaran sastra dalam Buku Sekolah Elektronik (BSE) bahasa Indonesia kelas IX,https://scholar.google.com/scholar?q=+intitle:'Strategi pembelajaran sastra dalam Buku Sekolah Elektronik (BSE) bahasa Indonesia kelas IX',"TDPH Nanda
Universitas Negeri Malang, 2013",2013,0,"Universitas Negeri Malang, 2013"
32,Meminimasi Waste pada Distribution Center Area Non Food dengan Pendekatan Lean Warehousing di Perusahaan Retail PT XYZ,https://scholar.google.com/scholar?q=+intitle:'Meminimasi Waste pada Distribution Center Area Non Food dengan Pendekatan Lean Warehousing di Perusahaan Retail PT XYZ',"DFH Widodo, S Sumiati
Ekonomis: Journal of Economics and Business 8 (2), 1495-1508, 2024",2024,0,"Ekonomis: Journal of Economics and Business 8 (2), 1495-1508, 2024"
32,Tindak Pidana Pemilu,https://scholar.google.com/scholar?q=+intitle:'Tindak Pidana Pemilu',"T Santoso
Sinar Grafika, 2006",2006,108,"Sinar Grafika, 2006"
